id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
550829,[13] Switch Expressions - incorrect compilation error  in yield,RESOLVED FIXED,None,JDT,Core,4.13,P3 normal,BETA J13,JDT-Core-Inbox,Manoj Palat,,,,,546581,2019-09-06 04:22 EDT by Manoj Palat,2019-09-06 06:50 EDT,3 users
550830,[Tip of the day] Incorrect usage of SubMonitor API,RESOLVED FIXED,None,Platform,User Assistance,4.13,P3 normal,4.14 M1,Lars Vogel,,,,,,,2019-09-06 04:58 EDT by Lars Vogel,2019-09-13 16:36 EDT,3 users
550831,IVMInstall2 and IVMInstall3 report different java.version values,NEW,None,JDT,Debug,4.12,P3 normal with 1 vote,---,JDT-Debug-Inbox,,,,,,,2019-09-06 04:58 EDT by Bence Sipka,2019-09-08 23:35 EDT,1 user
550832,Remove gif which we left during the move to png files,NEW,None,Platform,IDE,4.13,P3 normal,---,Platform-UI-Inbox,,,,noteworthy,,,2019-09-06 05:10 EDT by Lars Vogel,2019-09-13 22:54 EDT,2 users
550833,Bundle-ClassPath: external with System Property does not evaluate correctly,REOPENED,None,Tycho,Core,1.4.0,P3 normal,---,Project Inbox,,,,,,,2019-09-06 05:15 EDT by Philipp M. Fischer,2019-09-09 05:28 EDT,1 user
550834,Race condition in InputStreamMonitor can delay or block user input to RuntimeProcess,VERIFIED FIXED,None,Platform,Debug,4.12,P3 normal,4.14 M1,Paul Pazderski,,,,,,552030 550345,2019-09-06 05:21 EDT by Paul Pazderski,2019-10-11 05:08 EDT,1 user
550835,once selected quick access elements from lsp4e disappear from list,RESOLVED FIXED,None,lsp4e,General,0.10.0,P3 normal,0.11.0,Martin Lippert,,,,,550881,,2019-09-06 05:41 EDT by Martin Lippert,2019-09-09 03:15 EDT,1 user
550836,Provide a warning for always-true or never-true numeric literal conditions,NEW,None,JDT,Core,4.13,P3 normal,---,JDT-Core-Inbox,,,,,,,2019-09-06 07:01 EDT by Sopot Cela,2019-09-06 07:19 EDT,1 user
550837,A11y_ Java Tooling for IntelliJ/Eclipse_Select JSP Template: The information that a template is selected is not conveyed properly to the user,NEW,None,Platform,SWT,4.11,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 07:38 EDT by Tanusha Gottipati,2019-10-17 02:37 EDT,0 users
550838,"A11y_ Java Tooling for IntelliJ/Eclipse_ New Dynamic Web App (Dark Theme)_Color Contrast: In Dark theme, Color contrast ratio for the text message present under the ¡®Configuration¡¯ section is less than 4.5:1",CLOSED DUPLICATE of bug 552414,None,Platform,SWT,4.11,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 07:46 EDT by Tanusha Gottipati,2019-11-04 09:06 EST,1 user
550839,"A11y_ Java Tooling for IntelliJ/Eclipse_ Eclipse Azure Device login_Screen Reader: When focus is inside the error details section, Narrator is reading as ¡®Editing¡¯",NEW,None,Platform,SWT,4.11,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 07:54 EDT by Tanusha Gottipati,2019-09-06 07:54 EDT,0 users
550840,A11y_ Java Tooling for IntelliJ/Eclipse_ Eclipse Azure Device login_Screen Reader: When focus is on the 'Device Login' link NVDA is not reading anything,NEW,None,Platform,SWT,4.11,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 08:01 EDT by Tanusha Gottipati,2019-09-06 08:01 EDT,0 users
550841,"A11y_ Java Tooling for IntelliJ/Eclipse_Eclipse Azure Sign In (Dark Theme)_Color Contrast: In Dark theme, Color contrast ratio for the ¡®Error message¡¯ and the ¡®Dialog name¡¯ in blue color is less than 4.5:1",CLOSED DUPLICATE of bug 552414,None,Platform,SWT,4.11,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 08:05 EDT by Tanusha Gottipati,2019-11-04 09:05 EST,1 user
550842,"A11y_ Java Tooling for IntelliJ/Eclipse_Eclipse Azure Sign In (Dark Theme): In Dark theme, text under the unselected radio button is blurred",NEW,None,Platform,SWT,4.11,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 08:13 EDT by Tanusha Gottipati,2019-09-06 08:13 EDT,0 users
550843,A11y_ Java Tooling for IntelliJ/Eclipse_ Eclipse Azure Sign In_Screen Reader: Narrator is not reading the error messages that comes when user does not provide any Authentication file,NEW,None,Platform,SWT,4.11,P3 normal,---,Platform-SWT-Inbox,,,,,,,2019-09-06 08:16 EDT by Tanusha Gottipati,2019-09-06 08:16 EDT,0 users
