id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks
18,implement life cycle management for merge managers (1GCHQMG),RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
19,[CVS Repo View] Should be able to pick a branch and catchup to it,RESOLVED WONTFIX,None,Platform,Team,2.0,P4 normal,---,Platform-VCM-Inbox,,,,,,
20,Workspace files,RESOLVED FIXED,None,Platform,Team,2.0,P2 normal,2.0 M6,Kevin McGuire,,,,,,40 48
21,"[CVS Watch/Edit] ""cvs release"" a project's local workspace (1GBESCM)",RESOLVED WONTFIX,None,Platform,Team,2.0,P5 normal,---,Platform-VCM-Inbox,,,,helpwanted,,
22,persist sharing recommendations and project version references (1GBOA19),RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
23,ScrubLocalAction no longer needed? (1GBS1IA),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,Kevin McGuire,,,,,6,
24,Performance of refresh (1GC2TAF),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,Michael Valenta,,,,,,
25,[CVS UI] Need VCM Prefs - Default Repo Connection (1GC3746),RESOLVED DUPLICATE of bug 28126,None,Platform,Team,2.0,P3 normal,---,Platform-VCM-Inbox,,,,,,
26,Need to be able to create a new Repo Connection from the selection dialog (1GC4XE9),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,James Moody,,,,,,
27,CVS: declaring versions that have not been created using rtag (1GCAQ0D),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
28,VCM UI: properties page should show author for all versions or none (1GCC17U),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,James Moody,,,,,,
29,Internationalization (NSL) (1GCC601),RESOLVED FIXED,None,Platform,Team,2.0,P3 normal,---,James Moody,,,,,,
30,[CVS Core] server .cvsignore file should be considered by client (1GCC6MB),RESOLVED WONTFIX,None,Platform,Team,2.0,P5 normal with 3 votes,---,Platform-VCM-Inbox,,,,,,
