166,IDEA-123665 richcopy enabled for console and highlighters
2014-04-10T11:02:20Z,commit,get rid of intermediate markup representation (IDEA-67767),github.com/JetBrains/intellij-community/pull/166/commits/1d0e6e85a074f2871c35ea07253e6934ac31abf5
2014-04-10T11:29:07Z,commit,fix distraction-free extra size not being updated,github.com/JetBrains/intellij-community/pull/166/commits/2309f915fb28e6a68934261daba38a6820015835
2014-04-10T11:38:31Z,commit,fix Tab behaviour when there's selection (fixing test data),github.com/JetBrains/intellij-community/pull/166/commits/9f55d610dbe6b0aa695bdd05e3d894e6255804a6
2014-04-10T11:43:54Z,commit,remove null icon,github.com/JetBrains/intellij-community/pull/166/commits/84eb84b75811ca269dab4b46cd6637a271da8762
2014-04-10T11:49:17Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/166/commits/2579106baad3c1cb5021e5c52ad04b3eee45983a
2014-04-10T11:11:18Z,commit,use default tool name instead of blank,github.com/JetBrains/intellij-community/pull/166/commits/e781fb91a43c2e6ff3dd1cd2d240ac6042182261
2014-04-10T12:22:25Z,commit,platform: screen insets bug info updated,github.com/JetBrains/intellij-community/pull/166/commits/83c4db584d16ce354ffe53956bc743467ad1c403
2014-04-10T12:24:57Z,commit,platform: missed BindException bug info updated,github.com/JetBrains/intellij-community/pull/166/commits/54afffad48322fddae2c83bd2dd12e6b98871766
2014-04-10T12:28:53Z,commit,remove null icons,github.com/JetBrains/intellij-community/pull/166/commits/3e2b169f4b7826414ec730b03faa4f51d9358882
2014-04-10T09:55:23Z,commit,Disable autopopup in Xhtml,github.com/JetBrains/intellij-community/pull/166/commits/c96efa1e900f8efa690e0034cced77909c5e1d31
2014-04-10T12:33:39Z,commit,Reimplement emmet completion with new CustomLiveTemplate api,github.com/JetBrains/intellij-community/pull/166/commits/312acda27e863307e7eadf86ac7dc78be336e164
2014-04-10T12:25:17Z,commit,versions for file type detectors + usage of them for file type index,github.com/JetBrains/intellij-community/pull/166/commits/0d6181521e12822159220de4e2fe51c07732535f
2014-04-10T12:51:11Z,commit,debugging OfflineModeTest,github.com/JetBrains/intellij-community/pull/166/commits/c4c0770ba6b5e702e871fefd309c9741f9e49dd4
2014-04-10T11:46:14Z,commit,plugin updater: prefer plugins from hosts (IDEA-123350); ensure downl¡­,github.com/JetBrains/intellij-community/pull/166/commits/69f8d95193dee676fba704d9b71c154610292bf9
2014-04-10T12:03:05Z,commit,allow to replace strings with non-final static 'constants' (IDEA-119480),github.com/JetBrains/intellij-community/pull/166/commits/52951cfbfeb1499977cea743b9ab0b9dfdc5cde2
2014-04-10T13:25:04Z,commit,IDEA-123338,github.com/JetBrains/intellij-community/pull/166/commits/6f7f761be59fc5888a2a12eb3104e9997d96388f
2014-04-10T14:15:54Z,commit,IDEA-123647 Mercurial merge fail,github.com/JetBrains/intellij-community/pull/166/commits/6f6e2c02b51dec5e4706d09eb1e7333d32ed31d7
2014-04-10T14:25:33Z,commit,IDEA-122856 Hard to catch layout delimiter in portrait mode,github.com/JetBrains/intellij-community/pull/166/commits/773283963a356d552fa678471396a6b393469966
2014-04-10T14:44:09Z,commit,IDEA-123803 Popup goes behind its parent dialog for multiline editor,github.com/JetBrains/intellij-community/pull/166/commits/a0e08513d4093686ec09ecb40a8eee8ec0dbac32
2014-04-10T14:38:14Z,commit,IDEA-123691 Minor project wizard edits: project type list refactored,github.com/JetBrains/intellij-community/pull/166/commits/c807e88de1b2827ed72ba4c216a23c95c99292dd
2014-04-10T15:03:08Z,commit,ssl backend: sing outgoing traffic,github.com/JetBrains/intellij-community/pull/166/commits/8615c5fcdcb658962117cfd4350de0b161179de1
2014-04-10T15:34:11Z,commit,GitBranchWorkerTest: recover from setUp exceptions and prevent projec¡­,github.com/JetBrains/intellij-community/pull/166/commits/6435abb8b2ba26c6c1e634a0d7642c265a0b004b
2014-04-10T15:47:28Z,commit,more cleanup in fixture-based test tearDown (e.g. local history),github.com/JetBrains/intellij-community/pull/166/commits/c0e93d8637230b3469336651912082fe1fe1c259
2014-04-10T15:52:47Z,commit,"GitChangeProviderTest, GitHistoryUtilsTest: prevent project leaks whe¡­",github.com/JetBrains/intellij-community/pull/166/commits/aa81e270a5daecfd29e82dcf465633a2ea6cb036
2014-04-10T16:04:25Z,commit,GitChangeProviderTest: rethrow init exception,github.com/JetBrains/intellij-community/pull/166/commits/617d0e02522483ac198f00a023e2bb5cac3843d8
2014-04-10T16:07:25Z,commit,CheckingHandlerUtil.disableWhenDumb,github.com/JetBrains/intellij-community/pull/166/commits/a7f8535e864337b1b4636d38096b6d9d654ac4fb
2014-04-10T17:00:44Z,commit,IDEA-55853 Value displayed by custom type renderer is not copied to c¡­,github.com/JetBrains/intellij-community/pull/166/commits/6ff0475eca3e5b466250099d753a9333d04c9faf
2014-04-10T17:14:45Z,commit,"IDEA-51509 (IG: ""String concatenation in i18n context"" could suggest ¡­",github.com/JetBrains/intellij-community/pull/166/commits/d51ce75a5ff80e2870f6e0f3abd103a8aac90f6c
2014-04-10T17:16:29Z,commit,IDEA-91835 Debugger: Support caret at the 'View Text' control,github.com/JetBrains/intellij-community/pull/166/commits/5c22e174916c1a6890f971d1baa9395ad11e2074
2014-04-10T17:19:16Z,commit,IDEA-123825 - Git Clouds: detect Git remotes,github.com/JetBrains/intellij-community/pull/166/commits/7a23ecf64a7d147a78790b1fe392537c52ee6079
2014-04-10T17:43:18Z,commit,Storyboard format,github.com/JetBrains/intellij-community/pull/166/commits/c6175fbfeb2e0835683b8c187fcf96464c03e780
2014-04-10T17:47:40Z,commit,IDEA-122914 (unclosed ZipFile: JarFile usages),github.com/JetBrains/intellij-community/pull/166/commits/d35ae288433b20856773c1067499d6fdd25f4849
2014-04-10T17:50:01Z,commit,Cleanup (test),github.com/JetBrains/intellij-community/pull/166/commits/f6154f9eeb828d0916bb837af4cc387f98ba3933
2014-04-10T18:03:55Z,commit,tests: common TeamCity detector,github.com/JetBrains/intellij-community/pull/166/commits/c5de91af6034fa3d6b371153ae0e9ec090b08a55
2014-04-10T14:25:12Z,commit,setup javadoc url for javafx for java 7 as it was distributed without¡­,github.com/JetBrains/intellij-community/pull/166/commits/0b4a7dfb2be42ae8bf3271b97444a447183be53b
