377,145
2016-04-01T06:20:31Z,discuss,"
No description provided.
"
2016-03-22T17:39:35Z,commit,"Disabled references in formatted strings due to PY-18824, PY-18769, P¡­",github.com/JetBrains/intellij-community/pull/377/commits/7aeb4347dba7e4efd8086c59f686f911586d9e43
2016-03-22T18:19:45Z,commit,fixing NPE,github.com/JetBrains/intellij-community/pull/377/commits/ac073c4e3bdd9464299db3e6d29315ed1218e63f
2016-03-09T15:01:05Z,commit,WEB-20680 ES6 unicode code points escape sequences are not supported ¡­,github.com/JetBrains/intellij-community/pull/377/commits/5fc036ce1fff9237c9f7f3da907200aee8230f4f
2016-03-23T09:46:28Z,commit,NPE (EA-80827),github.com/JetBrains/intellij-community/pull/377/commits/08fa8ee6945d341142e91cd96760e25f45bc83c3
2016-03-23T05:45:57Z,commit,IDEA-153235 Package named 'main' is not correctly recognized in Gradl¡­,github.com/JetBrains/intellij-community/pull/377/commits/21367e3780cbb8150c50d65440e7ea0714a7e3c8
2016-03-23T07:44:09Z,commit,IDEA-152976 Gradle tooling API for Scala projects is incompatible wit¡­,github.com/JetBrains/intellij-community/pull/377/commits/983a1a800bdd8aba8af8bf3914558c4aa21cf618
2016-03-23T07:46:05Z,commit,gradle versions list for integration test revised,github.com/JetBrains/intellij-community/pull/377/commits/8048f403f60167aaf4d7914b7819ed9844ea64df
2016-03-18T15:44:36Z,commit,postfix templates: log error instead of fail if there is a duplicate ¡­,github.com/JetBrains/intellij-community/pull/377/commits/107208cdab4c0685d559198fc101d6e2de122b18
2016-03-21T10:20:33Z,commit,postfix templates: improve error message,github.com/JetBrains/intellij-community/pull/377/commits/089236bfbbd56041cafa856516cf63a86ec3029f
2016-03-23T11:18:10Z,commit,version and since are not required anymore,github.com/JetBrains/intellij-community/pull/377/commits/54faf4536285e227f8e85b156eebc4c04e6d62d2
2016-03-22T15:11:33Z,commit,vcs: IDEA-153272 Don't discriminate unversioned and ignored files,github.com/JetBrains/intellij-community/pull/377/commits/86f41070f3af79c357a18b7010b9eebcbc9ad875
2016-03-22T15:16:55Z,commit,vcs: simplify the code,github.com/JetBrains/intellij-community/pull/377/commits/5e14e56b0bc366e2d5d9709864431bbc247fcacf
2016-03-22T15:58:03Z,commit,"IDEA-153453 copying a file should mark new file dirty, not the original",github.com/JetBrains/intellij-community/pull/377/commits/b1fd66a5205ab1e72c9121375c341bceddf09729
2016-03-22T16:15:50Z,commit,IDEA-153464 fix a typo in TODO pre-commit warning message,github.com/JetBrains/intellij-community/pull/377/commits/145d97afcbc0a08592fe67ad7db54eaa4552eb1a
2016-03-22T16:36:15Z,commit,cleanup: convert anonymous to lambda,github.com/JetBrains/intellij-community/pull/377/commits/8c30d33cebbd1da7674052eff8b151eec94222cc
2016-03-23T13:37:17Z,commit,fix compilation: add an import removed by a cherry-picked commit,github.com/JetBrains/intellij-community/pull/377/commits/2a29d4f57b98da97dc6748d6e10ba2b723f186ad
2016-03-23T16:02:26Z,commit,eap=true,github.com/JetBrains/intellij-community/pull/377/commits/4635000542f67dbed73d2de22ed87761fd16382d
