1212,It is recommended to add a json view window.
2019-10-12T07:36:00Z,discuss,"Many times the String variable is json. If it is displayed in txt format, it is not convenient to read. Add json formatting window for easy reading."
2019-10-12T07:36:00Z,discuss,"
"
2019-10-12T07:36:00Z,discuss,"I believe that in the following way, the json type is a String variable that is more pleasing to the eye.
"
2019-10-08T09:47:33Z,commit,use FileBasedIndex#getFileData in StubTreeLoaderImpl,github.com/JetBrains/intellij-community/pull/1212/commits/f7c15f5b0b10d52f7aeef1c5bda7362e34e5df96
2019-10-08T12:58:10Z,commit,always read data from SnapshotInputMappings if it's already stored,github.com/JetBrains/intellij-community/pull/1212/commits/b26c98636548e19f24fce253ce97c5dfbb436c9a
2019-10-08T13:04:44Z,commit,remove old unused key,github.com/JetBrains/intellij-community/pull/1212/commits/0226460c9a6821d07cea663cfd4c709444cc6152
2019-10-08T13:31:08Z,commit,SnapshotInputMappings allows to use manual compression,github.com/JetBrains/intellij-community/pull/1212/commits/10e40cdeb7adbd5685424f5203d7a42da23ebef7
2019-10-08T17:17:50Z,commit,SnapshotInputMappings store only value for SingleEntryFileBasedIndexE¡­,github.com/JetBrains/intellij-community/pull/1212/commits/b240b79468f250a8ad440720fd354f7272377963
2019-10-08T17:23:57Z,commit,stub diff builder: don't rely on input data keys (file-ids),github.com/JetBrains/intellij-community/pull/1212/commits/56c486c0acb516529e66d40c487532b8e83e427c
2019-10-09T05:45:25Z,commit,don't use forward index for single entry indexes,github.com/JetBrains/intellij-community/pull/1212/commits/f8151e8af1bb9db7ac35e76ab01b02a3c5d14f7a
2019-10-09T14:48:42Z,commit,"cleanup: raw types, deadcode",github.com/JetBrains/intellij-community/pull/1212/commits/283b2ad9ed75509c7ac1810bd710eb96ac330a7b
2019-10-10T06:16:18Z,commit,cleanup: fix yellow code,github.com/JetBrains/intellij-community/pull/1212/commits/9d9da2c065049443932ac7fe3046a67f2c6942fe
2019-10-10T11:20:52Z,commit,add javadoc for FileBasedIndexExtension.getInputFilter,github.com/JetBrains/intellij-community/pull/1212/commits/93d6f7d6e6adf1d404a868a56ad252510291c5c8
2019-10-10T11:28:31Z,commit,add a special assertion if FileContentImpl#getPsiFile is called for a¡­,github.com/JetBrains/intellij-community/pull/1212/commits/fe95514af7a15d42f53801e4f38892cda53572c2
2019-10-10T12:32:01Z,commit,"Remove unnecessary cache, mark fenceLanguageProvider as dynamic",github.com/JetBrains/intellij-community/pull/1212/commits/92e690b1e7369c42ca6b46e46c4ec678ea9dc35e
2019-10-10T13:16:05Z,commit,Delete unused class,github.com/JetBrains/intellij-community/pull/1212/commits/3f80e2f4d21b5cb499f7c525c7c2167b8ec33163
2019-10-10T13:26:51Z,commit,Cleanup: static field should be final,github.com/JetBrains/intellij-community/pull/1212/commits/40c05434e9caaf90ddb43dd7fb824b969362b391
2019-10-10T13:27:16Z,commit,Cleanup: less raw types,github.com/JetBrains/intellij-community/pull/1212/commits/cabc4c58fe41642a8fdd1dd0d6d75862d7798962
