633,Ep rascal transformation
2017-09-28T11:30:10Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/633/commits/6c4788b6e03b54deadefa1f3f59c138c4d311ff9
2017-09-28T13:24:12Z,commit,test fix,github.com/JetBrains/intellij-community/pull/633/commits/6632789055c4045755f083c6c9adc25c82dfcd30
2017-09-28T14:00:47Z,commit,build scripts: do not ignore internal errors logger by build process,github.com/JetBrains/intellij-community/pull/633/commits/9a4fb20004f3c2d88425c61fa231c6e2296f9d67
2017-09-28T13:54:51Z,commit,"reindex offending file after ""unable to get stub builder"" and other e¡­",github.com/JetBrains/intellij-community/pull/633/commits/c61cba1e1ec32fd165724229d48487843f8157ac
2017-09-28T14:00:39Z,commit,adapt various tests to psi invalidation on root change,github.com/JetBrains/intellij-community/pull/633/commits/f7367a4a64321b7586df305c13a1e3ded6818c8d
2017-09-28T14:13:16Z,commit,[java] fixes degenerate enums parsing (IDEA-179650),github.com/JetBrains/intellij-community/pull/633/commits/f502283de7d37548a58596107fddc473789a33f6
2017-09-28T11:29:18Z,commit,CPP-4519 Rollback the serialization name for function call (OC.FUNCTI¡­,github.com/JetBrains/intellij-community/pull/633/commits/87a102267c2e049d1ceb4834bb2bf3dba695faf5
2017-09-28T14:40:37Z,commit,Build tool window tab icons,github.com/JetBrains/intellij-community/pull/633/commits/2489789c490eadd54e42f26fad5eda570755ff12
2017-09-28T13:44:20Z,commit,debugger agent: fixed no agent check,github.com/JetBrains/intellij-community/pull/633/commits/935963c0a93a7a3c28905393d18de0a5374426a3
2017-09-28T14:40:50Z,commit,debugger agent: do not load agent class if not available already,github.com/JetBrains/intellij-community/pull/633/commits/bfee598cfe6f1003007ad21ace7a15178e9c5ab5
2017-09-28T14:46:07Z,commit,greenify NullableNotNullDialog,github.com/JetBrains/intellij-community/pull/633/commits/83935c0ce0ea768c9921c6b4905ea9b38bc89962
2017-09-28T14:49:05Z,commit,IDEA-178632 Switching Default/Darcula themes on mac breaks combobox b¡­,github.com/JetBrains/intellij-community/pull/633/commits/3eb83d888cb1bd50b33e5144088aea6dde20fe17
2017-09-28T11:46:30Z,commit,show popup for a parameter also after closing full parameter info,github.com/JetBrains/intellij-community/pull/633/commits/83cbf9031b4502faa2627974b25c293f02ad2a56
2017-09-28T14:44:39Z,commit,fix autopopup not showing sometimes with completion hints disabled,github.com/JetBrains/intellij-community/pull/633/commits/fd8abeeb6dac6cebde6d555773c19607f780f8ec
2017-09-28T14:23:58Z,commit,DBE: circumvent DBE-5060. With option not todo so,github.com/JetBrains/intellij-community/pull/633/commits/1fa07e4677154cd33d3cd1c2433225ce90480a17
2017-09-28T15:27:43Z,commit,"PY-26255: Rephrase validation message, check python qualified name",github.com/JetBrains/intellij-community/pull/633/commits/54eb0035b713d66dc5f36b298b85dbe6910ecd73
2017-09-28T14:18:38Z,commit,add external library: show dialog with download suggestion (IDEA-CR-2¡­,github.com/JetBrains/intellij-community/pull/633/commits/ff5f84987c59b2aa5ae7b1b1e99c7970ee135d89
2017-09-28T14:57:48Z,commit,naming conventions: provide equals/hashcode for custom beans,github.com/JetBrains/intellij-community/pull/633/commits/264f23ffdfc98ae5ee817c5f1e8979d69f701d9c
2017-09-28T09:00:18Z,commit,BackgroundTaskUtil.executeOnPooledThread: better disposable registration,github.com/JetBrains/intellij-community/pull/633/commits/91f3baa83854bf0f9fcc8a6d285eb2dea922d007
2017-09-28T15:52:59Z,commit,Create directory if path doesn't exist,github.com/JetBrains/intellij-community/pull/633/commits/f8ca0b9074f82507e129058ab6d28a4c4053a59e
2017-09-28T15:54:13Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/633/commits/782f1887e3cfc530fd2269baebde94d6237048a1
2017-09-28T15:55:36Z,commit,env tests fixed,github.com/JetBrains/intellij-community/pull/633/commits/bc0a192e100a4b8ff28077f8cc497188629e957d
2017-09-28T16:06:10Z,commit,test fix,github.com/JetBrains/intellij-community/pull/633/commits/64fd62e0a9ad1860a8c28a602533c5f7b432ca76
2017-09-28T16:04:00Z,commit,[jvm-lang] register services for Kotlin environment properly (take 2),github.com/JetBrains/intellij-community/pull/633/commits/5ad1ca21c746b6c631a0a73c3cb7c62f9c628ee9
2017-09-27T14:15:01Z,commit,cleanup yellow code,github.com/JetBrains/intellij-community/pull/633/commits/edd8eba48142f5dd33b37e8ef965a1b5401e54b7
2017-09-27T14:15:28Z,commit,cleanup yellow code,github.com/JetBrains/intellij-community/pull/633/commits/2be11024ea2b52ff1354ed1d33f3473fa3f224ee
2017-09-28T09:47:06Z,commit,properties: make move resource bundle available with f6 (IDEA-179376),github.com/JetBrains/intellij-community/pull/633/commits/fcb1eb2997c4377e86bb8c3e4720607ccd890809
2017-09-28T13:15:10Z,commit,resource bundle: make resource bundle node provide array of propertie¡­,github.com/JetBrains/intellij-community/pull/633/commits/cf2580c579a3bc5d214b7d6f43f745e5ca573704
2017-09-28T13:41:13Z,commit,i18n dialog: the value is not updated if already exists (IDEA-179738),github.com/JetBrains/intellij-community/pull/633/commits/d626a0316313db9be7a9fe213bfea111f713d91e
2017-09-28T13:44:41Z,commit,i18n dialog: don't show error message under write action IDEA-179722,github.com/JetBrains/intellij-community/pull/633/commits/445024a98145a0599f53639c96a64fa8c18046a5
2017-09-28T14:21:30Z,commit,resource bundle editor: use selected prefix as initial value for new ¡­,github.com/JetBrains/intellij-community/pull/633/commits/0428afcdd9058b0b4523913bfd7e2db6b4347669
2017-09-28T16:07:08Z,commit,i18n dialog: make preview visible again,github.com/JetBrains/intellij-community/pull/633/commits/02864a9d810ba076ff4ce98dda744d157c2b5a5c
2017-09-28T16:12:48Z,commit,fix CCE in AddNewPropertyFileAction,github.com/JetBrains/intellij-community/pull/633/commits/ee399b7d91737a61e11b4a20867c369ec514089a
2017-09-28T16:18:45Z,commit,resource bundle editor: listener should respect new files in resource¡­,github.com/JetBrains/intellij-community/pull/633/commits/c92e81b4b4cc2e1810d1a08fbf959e403d7019fa
2017-09-28T13:37:44Z,commit,do not access to the model from an obsolete command,github.com/JetBrains/intellij-community/pull/633/commits/f7a62bc676534e14d40eb5a84f09d02f736b56e6
2017-09-28T15:22:19Z,commit,introduce TransferToEDTQueue.DEFAULT_THRESHOLD to improve UI responsi¡­,github.com/JetBrains/intellij-community/pull/633/commits/8b636f00788e724d0e832b1c16adc3e51c438985
2017-09-28T15:26:32Z,commit,use default threshold for runnable merger,github.com/JetBrains/intellij-community/pull/633/commits/7f9e048065780e3205f065ac3a6bc8075d4c604e
2017-09-28T15:57:20Z,commit,add ability to switch off second attempt of search in tree,github.com/JetBrains/intellij-community/pull/633/commits/42f6ea20393c9398e7215146650d433d20e113da
2017-09-28T14:59:15Z,commit,reverted wrong commit,github.com/JetBrains/intellij-community/pull/633/commits/795d1e02b068d38993bd59f7389572f2998c51e6
2017-09-28T16:59:33Z,commit,more logging for strange hotswap not reloading classes issue,github.com/JetBrains/intellij-community/pull/633/commits/a0a986107a3900e9e4d3507e83796820c22004e6
2017-09-28T17:09:13Z,commit,debugger agent: generate location to speedup stack frames population,github.com/JetBrains/intellij-community/pull/633/commits/8167c325ebdbc821af9591fc0e249b209a566aae
2017-09-28T17:33:10Z,commit,Maven: add the support to reimport maven projects in the ExternalSyst¡­,github.com/JetBrains/intellij-community/pull/633/commits/ef6654c0afb44059b2f0016e001eb88a519bf1ae
2017-09-28T16:07:01Z,commit,disable intentions on invalid code (IDEA-179752),github.com/JetBrains/intellij-community/pull/633/commits/2d1affbc0e43b6a258fe934bcb40c62d568de0c0
2017-09-28T17:00:53Z,commit,avoid 'null' string in version; cleanup to showAndGet(IDEA-CR-24915),github.com/JetBrains/intellij-community/pull/633/commits/0a9c875608369ee04795bcd60d6b0e4a2b2c7bf7
2017-09-28T17:24:15Z,commit,junit: don't see inner classes as tests for known runners (IDEA-179766),github.com/JetBrains/intellij-community/pull/633/commits/f67e07801c948becd2069fb895ede018b073f659
2017-09-28T17:30:09Z,commit,debugger agent: do not check anonymous classes,github.com/JetBrains/intellij-community/pull/633/commits/5a89804f73659391c0d3d480173244b25699559a
2017-09-28T17:41:55Z,commit,Maven: ep name cleanup,github.com/JetBrains/intellij-community/pull/633/commits/0359c02521fe0343ceef38c7bbb568ed0aa6d9d7
2017-09-28T17:42:15Z,commit,Maven: ep name cleanup,github.com/JetBrains/intellij-community/pull/633/commits/d5dd26a49527d46be44aa383772e41549b65a02c
2017-09-28T17:41:41Z,commit,IG: don't warn on package-info files in invalid package (IDEA-179360),github.com/JetBrains/intellij-community/pull/633/commits/a88eddfef706ab73a440cbd2a92de0fcdfc61160
2017-09-28T18:22:59Z,commit,[platform] simple API for deleting temp. files on process termination,github.com/JetBrains/intellij-community/pull/633/commits/0b6649492e65ceeb9a7b44b3d9a00737a0f5493b
2017-09-28T18:56:17Z,commit,[groovy] don't inject into empty groovy literals (EA-108157),github.com/JetBrains/intellij-community/pull/633/commits/5b2fe2ae3b916e4bd4c02dccfb831a5e0ca28443
2017-09-28T19:06:28Z,commit,[groovy] fix AE in GrUnresolvedAccessChecker (EA-108245),github.com/JetBrains/intellij-community/pull/633/commits/01e038aef457c0315f9bb514f429bb70ae3bb2c7
2017-09-28T19:18:31Z,commit,[groovy] get rid of CallInfo#getHighlightElementForCategoryQualifier,github.com/JetBrains/intellij-community/pull/633/commits/f06ba6a9a3cfaaacddab557abd2300e9c68b4de2
2017-09-28T19:18:36Z,commit,create from text to prevent invalid psi (IDEA-CR-24971),github.com/JetBrains/intellij-community/pull/633/commits/a4b595baca195cf5d382fa6819fee9480adec626
2017-09-28T20:29:33Z,commit,"PY-24875: Filter messages in console, do not use InputFilter EP",github.com/JetBrains/intellij-community/pull/633/commits/354078660d2bb6f49e0c04be0f1137e5ee8888f6
