78,svn4idea / git4idea SSH agent support
2013-04-30T11:08:32Z,commit,[rev=Evdokimov] IDEA-106091 Groovy: index access resolving in case of¡­,github.com/JetBrains/intellij-community/pull/78/commits/6e3bc1b7c541052b156952f7e56f63c4355019e8
2013-04-30T11:54:18Z,commit,IDEA-105729 No change in the project when maven profile is activated ¡­,github.com/JetBrains/intellij-community/pull/78/commits/af0b6fb4724f638e11e05bdd7bc7a811c64b3f38
2013-04-29T11:15:03Z,commit,navigation to class fixed if file not opened (IDEADEV-41617 re-fixed),github.com/JetBrains/intellij-community/pull/78/commits/959ec6bb7c1fac66be55605543e4e5d223262852
2013-04-30T09:39:29Z,commit,navigation to class fixed if file not opened (IDEADEV-41617 re-fixed),github.com/JetBrains/intellij-community/pull/78/commits/03c5796abff288f196873f46c160e6501970db75
2013-04-30T10:26:33Z,commit,"fixing ""dispatch thread assertion"": id-to-key index may be created no¡­",github.com/JetBrains/intellij-community/pull/78/commits/0c2c2814d96e89acc8ed4da76860856df2e9c224
2013-04-30T14:29:32Z,commit,one part of,github.com/JetBrains/intellij-community/pull/78/commits/be854847e63ae90cd9c9f46e03cc6f2fd98da09f
2013-04-25T14:25:19Z,commit,IDEA-101072 (ability to disable expansion hints; asked by xmonad/wmii¡­,github.com/JetBrains/intellij-community/pull/78/commits/eed4969d1a47306272d5760a82cfe30695931c80
2013-04-27T08:34:35Z,commit,"[vcs] cleanup, notnull",github.com/JetBrains/intellij-community/pull/78/commits/845edb77000554f66afad62b49f5d04dc26d93a6
2013-04-28T09:13:51Z,commit,"[git] IDEA-78808 Fix ""yours"" and ""theirs"" for manual conflict resolve",github.com/JetBrains/intellij-community/pull/78/commits/617f16a787bf73ac4b6af4020be893dc0aa5a249
2013-04-28T11:00:38Z,commit,[git] IDEA-102290 Fix south panel for Untracked files dialog,github.com/JetBrains/intellij-community/pull/78/commits/3bb9b1cb6e12e31122ca1f43b0dee6d4f2cd6302
2013-04-28T11:35:23Z,commit,"[vcs] IDEA-97913 ""Cherry-pick -> Create patch task doesn't end""",github.com/JetBrains/intellij-community/pull/78/commits/2eb3afce6bbdc18d76b53a5e8903a3c84bf0ea3a
2013-04-27T08:11:48Z,commit,IDEA-106045 Fix whitespace only difference in diff preview,github.com/JetBrains/intellij-community/pull/78/commits/8dcca9a7ce4d371ed9d261fd1216f300e1f644f2
2013-04-29T09:08:23Z,commit,[diff] IDEA-106045 Fix whitespace only difference in diff preview,github.com/JetBrains/intellij-community/pull/78/commits/316f15cb0aab6207f52c8d23cd145b053ba391c9
2013-04-29T11:10:54Z,commit,[vcs] IDEA-105707 Update Project Info: fix show diff for Created files,github.com/JetBrains/intellij-community/pull/78/commits/c9f8f6a5c99b03d732b6ced37965743bb20ae08a
2013-04-30T10:33:00Z,commit,"[git] GitMergeProvider: use Set instead of Map<..., Boolean>",github.com/JetBrains/intellij-community/pull/78/commits/4b27bf3d1d9fad51652322f21bec986a5c6a92f3
2013-04-30T14:41:37Z,commit,[git] GitMergeProvider: make code more clear,github.com/JetBrains/intellij-community/pull/78/commits/a4b69259c9c6fb2518fbf950d68edff95d5880b3
2013-04-30T18:24:35Z,commit,IDEA-105941 never traverse dependency structure recursively if module¡­,github.com/JetBrains/intellij-community/pull/78/commits/e6a0466426055e181a8b94fd3e12f4c109a6a12d
2013-04-30T18:26:01Z,commit,IDEA-104567 fix pattern for filtering android logcat: the tag may be ¡­,github.com/JetBrains/intellij-community/pull/78/commits/4c1f27b0f354a812910e4a02838f0e763e0a1a99
2013-04-30T18:27:43Z,commit,"IDEA-105294 do not apply Android dom to the resources with type ""xml""¡­",github.com/JetBrains/intellij-community/pull/78/commits/d80eb7261f02f06e8d9b8ce34a2eb65ba1a8633c
2013-04-30T18:28:39Z,commit,disable android autogeneration alarm in headless and unit test mode; ¡­,github.com/JetBrains/intellij-community/pull/78/commits/710eebaf88875b31e16ea58869ac1ff55c4ebe6f
2013-04-30T18:30:01Z,commit,"IDEA-100206 it is allowed to create styleable with any name, so do no¡­",github.com/JetBrains/intellij-community/pull/78/commits/75399913cad700f9fe7b838b12bea567090bcf60
2013-05-02T12:12:54Z,commit,fix testdata,github.com/JetBrains/intellij-community/pull/78/commits/fe8cf269d3457c76a6c4a4e003c2994fe13b5379
2013-05-02T12:19:36Z,commit,Merge remote-tracking branch 'origin/129' into 129,github.com/JetBrains/intellij-community/pull/78/commits/e4a79cf948a69869874de2d37e8d5bdf3293bf88
2013-05-02T12:35:36Z,commit,restore after merge,github.com/JetBrains/intellij-community/pull/78/commits/9db22de85c2f59f3fffbba4abd5e6b73218a0444
2013-05-02T12:35:28Z,commit,IDEA-106556 (index access under mirror lock eliminated),github.com/JetBrains/intellij-community/pull/78/commits/a27cabbe1d8248de09bba62eaaecfdc961c1a942
2013-05-02T12:42:21Z,commit,restore after merge,github.com/JetBrains/intellij-community/pull/78/commits/634f8d383ece262be5ad33620fc4e1116da3df06
2013-05-02T12:44:24Z,commit,Merge remote-tracking branch 'origin/129' into 129,github.com/JetBrains/intellij-community/pull/78/commits/4dbb17ed8e6c59c376ce996d065f3adfd0409c56
2013-04-30T08:32:04Z,commit,[rev=Peter] IDEA-106374 Overriding method can change return type gene¡­,github.com/JetBrains/intellij-community/pull/78/commits/a41555d721b978a8b21eda0e48042766d040cdea
2013-03-28T06:05:29Z,commit,IDEA-104058 Groovy: False positive 'Assignment is not used' if try-fi¡­,github.com/JetBrains/intellij-community/pull/78/commits/a21ec39d44f78b5a7921d5c1600eb4e74f36ff9a
