1126,make getExecutable() generate a platform-specific filename
2019-04-20T09:34:37Z,discuss,"Hi there,"
2019-04-20T09:34:37Z,discuss,"I'm trying to get the PyCharm IDE running faster on a Jetson Nano (linux-aarch64). Compiling the fsnotifier source with the local GCC is straight-forward enough (integrating the change into the build process is not yet), however NativeFileWatcherImpl.getExecutable() will error out with unsupported platform if it's not one of the specifically encoded platforms. To make this a little more hackable, I have changed the code to give a platform-specific executable name to look for instead. This way, providing fsnotifier-aarch64 on the Jetson Nano should do the trick without further need to change the PyCharm package.
There is room for improvement for sure, like ensuring that you get to know the filename that is wanted, however this is a start."
2019-05-08T11:24:49Z,commit,IDEA-CR-46341: PY-21466 Python helpers: extended whitelist and blackl¡­,github.com/JetBrains/intellij-community/pull/1126/commits/357284d8dc77a9f8e70d318126242715ac901b87
2019-05-08T12:27:49Z,commit,Cleanup (logging),github.com/JetBrains/intellij-community/pull/1126/commits/465a88a7625c8b2adb30aba87b26ab8a6967e953
2019-05-08T12:28:45Z,commit,Cleanup (unused imports; formatting),github.com/JetBrains/intellij-community/pull/1126/commits/08ddbadd8f3bfacdab2f913e445ff4de40d56da2
2019-05-08T12:30:29Z,commit,IDEA-204446 Structure sidebar flashing content with frontend (html re¡­,github.com/JetBrains/intellij-community/pull/1126/commits/5533b5ff6c9e045594b00b0eb6dbf8004b4d9917
2019-05-08T12:35:30Z,commit,github: don't capitalize a preposition,github.com/JetBrains/intellij-community/pull/1126/commits/3cc4c206e3c38a4d8c6dbaff6da72d5d5fb24287
2019-05-08T12:48:54Z,commit,Cleanup (minor test optimization),github.com/JetBrains/intellij-community/pull/1126/commits/d6c28d30ec3c82815cea374fe3f52f03fa28858e
2019-05-08T12:48:27Z,commit,[fragment-editor] `JavaInjectedFileChangesHandler` presaves `INJECTED¡­,github.com/JetBrains/intellij-community/pull/1126/commits/62f16cf14846a96615b9abe3c78bec1ecc0c3cf5
2019-05-08T12:44:15Z,commit,IDEA-207382 -fix failed tests,github.com/JetBrains/intellij-community/pull/1126/commits/61d2acac24e90724e49529a7a75c3df93286977b
2019-05-08T13:01:13Z,commit,clean up ElementDescriptionLocation implementations,github.com/JetBrains/intellij-community/pull/1126/commits/3cfc2d2b44e977505aa5a813594dd186ce57384a
2019-05-07T16:13:09Z,commit,IDEA-CR-46985: Fix failing PySqlInjectionTest when JupyterCellExecuti¡­,github.com/JetBrains/intellij-community/pull/1126/commits/c2b6be910aff8acb5e596aeecfda97576ccf6dc6
2019-05-08T13:10:41Z,commit,proper capitalization,github.com/JetBrains/intellij-community/pull/1126/commits/91f46ab746dc9ce3f78ca8cdbb4feab944c50628
2019-05-08T10:15:24Z,commit,[testDiscovery] skip AffectedTestsInChangeListPainter in headless,github.com/JetBrains/intellij-community/pull/1126/commits/779e8bff665358f12458771e9bb278567ab178c3
2019-05-08T14:01:01Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/1126/commits/82c097a55ba942cfa2406720ba7c484106628b09
2019-05-08T13:37:29Z,commit,IDEA-207858 Completion: `default:` should be indented correctly,github.com/JetBrains/intellij-community/pull/1126/commits/fcf2058fabd9e2f93c4d3bf37da25e960a731714
2019-05-08T14:02:45Z,commit,IDEA-209123 Enable F2 and Shift+F2 shortcuts while code completion is¡­,github.com/JetBrains/intellij-community/pull/1126/commits/2e8033ebe4b76acce35cd979169eabe105aa27fa
2019-05-08T14:11:40Z,commit,IDEA-CR-47003: make it more discoverable via Find Action that Analyze¡­,github.com/JetBrains/intellij-community/pull/1126/commits/c2048c477238e26db2354f124e5e061ed1cf8ccc
2019-05-06T20:03:06Z,commit,move psiTreeUtil.kt to intellij.platform.lang.impl,github.com/JetBrains/intellij-community/pull/1126/commits/27a8a5fc8ea099f3c89ac77a6ecab9da66180fb0
2019-05-08T15:08:44Z,commit,IDEA-CR-46957: simplify utility method and add null-checking after re¡­,github.com/JetBrains/intellij-community/pull/1126/commits/ed4e24c37e604ad97544241217a5d18e1529b815
2019-05-08T15:14:54Z,commit,"completion: remove ""loading..."" items while scrolling, cleanup",github.com/JetBrains/intellij-community/pull/1126/commits/65d36edafb3d1973b23a3941aafbcc4205bcbe0f
2019-05-08T15:16:43Z,commit,javadoc completion: allow to omit method parameter types for concisen¡­,github.com/JetBrains/intellij-community/pull/1126/commits/fc0331f1abed7ac43b5a73601accc4dcd66c6b11
2019-05-08T15:20:39Z,commit,"IDEA-133126 hide view ""Maven Projects"" for not maven project",github.com/JetBrains/intellij-community/pull/1126/commits/86eec073e659a480fc77779bc35fb56348e49122
2019-01-30T14:47:44Z,commit,vcs-ignore: action for adding files to ignore files,github.com/JetBrains/intellij-community/pull/1126/commits/df0b8584d2b5109fc417e46c121b05bdb063f142
2019-05-07T17:22:02Z,commit,vcs-ignore: save ignore file document after PSI modification,github.com/JetBrains/intellij-community/pull/1126/commits/f8b73095ae3ce748b1c9ce65c3e6430a8d4c7d0f
2019-05-08T15:42:32Z,commit,IDEA-207554: rename action and bind it to Ctrl+E by default,github.com/JetBrains/intellij-community/pull/1126/commits/4a99e316e7eec79e528ff207659e2983444557fd
2019-05-08T15:42:08Z,commit,"FUS: support different recorders in ""add test group"" action",github.com/JetBrains/intellij-community/pull/1126/commits/4015aa7efc48fcd3133732025274827d3ae05a2a
2019-05-08T15:44:50Z,commit,[gui-test] editor initializing before waitUntilIconsShown(),github.com/JetBrains/intellij-community/pull/1126/commits/2c475a3679a8a464743a8703bee1a2cb8ca4d0ee
2019-05-08T16:03:35Z,commit,IDEA-207554: add similarly duplicating shortcuts for other keymaps; r¡­,github.com/JetBrains/intellij-community/pull/1126/commits/bf3cd062348c39ea18c7da911b964c07f267b945
2019-05-08T16:06:36Z,commit,Plugins management 2019: visual bugs,github.com/JetBrains/intellij-community/pull/1126/commits/25dd563b5788cd1272f2ade0e8dec7f6a1185868
2019-05-08T10:41:17Z,commit,inference: reuse diamond's static factories from inference on type su¡­,github.com/JetBrains/intellij-community/pull/1126/commits/622ae50bb4d2df4d09ff4e929f442bb57a06ba0c
2019-05-08T12:49:19Z,commit,inline: don't show dialog with one option available (IDEA-212160),github.com/JetBrains/intellij-community/pull/1126/commits/66d879c56c86d707adab1e2e4b86becbb7b3f0d7
2019-05-08T16:39:45Z,commit,Show error description after next/prev error navigation (IDEA-212332),github.com/JetBrains/intellij-community/pull/1126/commits/20fcedc1a2f714b7e4b2fdf40e02987d4a1cbd67
2019-05-08T16:35:31Z,commit,honor annotation processing settings when compiling with modules (IDE¡­,github.com/JetBrains/intellij-community/pull/1126/commits/fd8fe58764f744ef4e4ec305ee1fcca01ec7de3c
2019-05-08T16:50:20Z,commit,"workaround javac ClientCodeWrapper bug ""UnsupportedOperationException¡­",github.com/JetBrains/intellij-community/pull/1126/commits/9bb460c99fd550e80398da2222c4d34a1cd25767
2019-05-08T16:19:07Z,commit,[projectModel] DirectoryIndex: mark as,github.com/JetBrains/intellij-community/pull/1126/commits/11d5a539c0d1922351e7354505f6dd219668baa1
2019-05-08T17:46:13Z,commit,Provide better diagnostics when the user selects a JRE directory as J¡­,github.com/JetBrains/intellij-community/pull/1126/commits/1eeb3b688295cb07f473e73ca4e15563b0f28ef5
2019-05-08T18:41:58Z,commit,[tests] makes PathManagerTest pass on Java 11,github.com/JetBrains/intellij-community/pull/1126/commits/b915cfe4d50da484df022d8c7e6dd2bf253dcf81
2019-05-08T18:57:17Z,commit,[tests] makes JarFileSystemTest pass on Java 11,github.com/JetBrains/intellij-community/pull/1126/commits/d0277cf9880c430d1f0c92fcb08c3912e6a12deb
2019-05-08T19:04:07Z,commit,[tests] makes ArchiveFileSystemPerformanceTest pass on Java 11,github.com/JetBrains/intellij-community/pull/1126/commits/9abd4d44fa3d39053ef67aa528a964f1d47aae1b
2019-05-08T19:35:48Z,commit,Cleanup (warnings; formatting),github.com/JetBrains/intellij-community/pull/1126/commits/392d1aca3f441fb361bc5a409b46194cc1a2b880
2019-05-05T16:37:18Z,commit,[vcs-log] clean VcsCommitCache with full details when low memory noti¡­,github.com/JetBrains/intellij-community/pull/1126/commits/b81ec69cba814a5d799a738144074d10f5d8b473
2019-05-08T19:41:25Z,commit,Cleanup (unused import),github.com/JetBrains/intellij-community/pull/1126/commits/ddd791fff257e4727daca5a305f7a09efcea2a34
