731,173
2018-02-11T16:29:02Z,discuss,I need IntelliJ IDEA source code for the purpose of developing a new plugin. Thanks!
2018-02-12T10:24:52Z,discuss,"@baocatsamac you do not need to create malformed pull requests to develop plugins for IntelliJ IDEA.
Start reading docs from this page: https://www.jetbrains.org/intellij/sdk/docs/welcome.html"
2017-11-14T17:54:14Z,commit,Add ability to user to interrupt expanding asynchronous tree by colla¡­,github.com/JetBrains/intellij-community/pull/731/commits/441fc64bb7944fc9cf778eec33de6b6676173165
2017-11-15T11:41:24Z,commit,support interruptible expanding,github.com/JetBrains/intellij-community/pull/731/commits/680da2c4d6e58e36124ab611191ae0eb458b0b09
2017-11-15T18:36:15Z,commit,"always use new descriptor, because some structures have equal nodes w¡­",github.com/JetBrains/intellij-community/pull/731/commits/c112f7695eba1bbf88cbdf2b852adb4170ac0f1a
2017-11-17T14:06:48Z,commit,do not update an internal state before an exception may be thrown,github.com/JetBrains/intellij-community/pull/731/commits/a1c68b4ba10cea01bfc27a0f5363734c8d989f2e
2017-11-17T18:51:29Z,commit,use containing file instead of element to update Project View,github.com/JetBrains/intellij-community/pull/731/commits/e437ca4c7e2d4b32d51b30f474de7b9f71da94fe
2017-11-22T19:27:46Z,commit,add new base implementation of tree visitor,github.com/JetBrains/intellij-community/pull/731/commits/25d3a4edff3d7bead3a9b9f16c5b5792b9105705
2017-11-22T19:56:07Z,commit,remove unused implementations of tree visitor,github.com/JetBrains/intellij-community/pull/731/commits/3e38b6fad5f8976c70caa19c5a1f8e7c8c34538d
2017-11-22T20:08:49Z,commit,rename method according to the corresponding method in base implement¡­,github.com/JetBrains/intellij-community/pull/731/commits/156b606da68f9d473e4532581ea1401608e2b8a6
2017-11-23T13:42:07Z,commit,add ability to search by a path without root for test purposes,github.com/JetBrains/intellij-community/pull/731/commits/b1d32de83e6e0baf75dd26087a8ae171f36e35d1
2017-11-23T15:17:12Z,commit,do not restore a tree state twice on showing a project view,github.com/JetBrains/intellij-community/pull/731/commits/ea21034727f3fbbfa844e6155e8adacd8c4a11e7
2017-11-24T14:58:04Z,commit,add ability to visit childrne of the found node,github.com/JetBrains/intellij-community/pull/731/commits/15cc951c5fcd3b62c1f6aa2d38c0c74a68e5982e
2017-11-27T16:23:29Z,commit,implement makeVisible for TreePath,github.com/JetBrains/intellij-community/pull/731/commits/45d39bb55b3b3f359f6fe0c3a35a48cee09bbad3
2017-11-28T16:15:45Z,commit,do not use a tree builder from a project view directly,github.com/JetBrains/intellij-community/pull/731/commits/659ed6e241a27105abefe6c6d0fc13e60cc8c7ab
2017-11-29T12:46:35Z,commit,com.intellij.util.Function instead of java.util.function.Function,github.com/JetBrains/intellij-community/pull/731/commits/89b5a03221da21e6b319993da56afea137dbcdf8
2017-11-29T18:15:32Z,commit,remove TreeVisitor.Base implementation,github.com/JetBrains/intellij-community/pull/731/commits/f80d9667bbc25fa4bdda653ada64e15605be5506
2017-12-04T16:27:39Z,commit,rename accept to visit and add ability to visit only visible rows,github.com/JetBrains/intellij-community/pull/731/commits/7330a3ad51308c81473bfae51baf36d134455765
2017-12-20T13:08:35Z,commit,IDEA-183950 start visiting after processing background tasks to ensur¡­,github.com/JetBrains/intellij-community/pull/731/commits/01bdd88ef6617eca56b316504a5e36de3ab71b5a
2017-12-22T10:29:53Z,commit,fix empty lines after removing a last package in compact middle packages,github.com/JetBrains/intellij-community/pull/731/commits/119ed8e47c805080988fa21e30d3570fe3076697
2017-12-23T13:24:05Z,commit,IDEA-180143 Deleting empty package causes Project View to reset selec¡­,github.com/JetBrains/intellij-community/pull/731/commits/c9f9e95a44d1b20a0e614bc96e5d0b03a3042a67
2018-01-10T13:44:53Z,commit,Fix text after massive cherry-pick by another approach (see IDEA-CR-2¡­,github.com/JetBrains/intellij-community/pull/731/commits/ae787e58c9fb5cf7e17396e407396f0ddfa41cef
2017-12-12T20:04:42Z,commit,make ChooseByNameTest.test fix keyboard layout more robust to non-java,github.com/JetBrains/intellij-community/pull/731/commits/edc7089d5d30cbaacf8a67d81002f0afa3cd410e
2018-01-09T09:03:19Z,commit,[^maxim] don't create 2 pooled threads (!) after each (!) Perforce pr¡­,github.com/JetBrains/intellij-community/pull/731/commits/5298242607af780f8de8a262fc186848ffd7ba5e
2018-01-05T10:59:49Z,commit,[^k.likh] don't let accidental PCE during <clinit> spoil code insight¡­,github.com/JetBrains/intellij-community/pull/731/commits/05f3c955e20000dd20b0db9162da1e2ac6b80906
2017-12-19T16:55:16Z,commit,"[file-history] register ""diff with local"" providers from changes view¡­",github.com/JetBrains/intellij-community/pull/731/commits/027bd1d00fb98c193fece3fe31c961d8d68269f9
2017-11-30T11:56:02Z,commit,maven - remove excess maven2-server-impl dependency from maven module,github.com/JetBrains/intellij-community/pull/731/commits/7a6cb32be8a271ca664ae768b70652b9b153eda4
2018-01-11T08:17:11Z,commit,Revert: Maven: highlighting tests fix,github.com/JetBrains/intellij-community/pull/731/commits/db17970d8596d7ea7f17f65c3efd0a865ca49e43
2018-01-10T15:44:06Z,commit,Build view: merge frequent edt events,github.com/JetBrains/intellij-community/pull/731/commits/00de6dd409fbfff8553c01f46e7d688371fb628c
2018-01-10T15:45:23Z,commit,Tree table: merge frequent edt events,github.com/JetBrains/intellij-community/pull/731/commits/1fc16de9d4fdcc3e60322a859a82866676eceb07
2018-01-11T09:25:10Z,commit,PyCharm 2017.3.3,github.com/JetBrains/intellij-community/pull/731/commits/d369db36a793aeb870fe37cd233b3aac6434b45e
2018-01-10T09:53:44Z,commit,PyCharm doesn't allow to finish input (PY-27881),github.com/JetBrains/intellij-community/pull/731/commits/3ea5328fb2ad998548675f9e1b59bb371935559c
2018-01-09T15:13:24Z,commit,PY-26758 Check that detected file type of *-nspkg.pth files is not bi¡­,github.com/JetBrains/intellij-community/pull/731/commits/e42654ea9b40620cdcd4c33c2227bf3b7acafa8b
2017-12-19T14:19:06Z,commit,PY-27656 PY-27604 Exclude ancestors of metaclasses from class hierarchy,github.com/JetBrains/intellij-community/pull/731/commits/77e1410cffce5f9ee1677ddd31c57f4490329e24
2018-01-09T20:17:03Z,commit,PY-27604 Exclude instantiated metaclasses from ancestor types of a class,github.com/JetBrains/intellij-community/pull/731/commits/98368281a7404d4cb17bb27d2912db2cf18e3c2c
2018-01-10T19:49:45Z,commit,PY-27604 Move enhanced ancestors-aware metaclass detection to PyClass,github.com/JetBrains/intellij-community/pull/731/commits/b7f7419d29a4bdb1742cb1dc280abc4392cfb35a
2017-12-15T21:21:58Z,commit,"IDEA-183823 diff: enable ""Compare With ..."" actions in modal context",github.com/JetBrains/intellij-community/pull/731/commits/1a57ff03c0305465e6ec4c3850f653cc7390eb89
2017-12-15T21:19:10Z,commit,IDEA-183691 vcs: update legend when commit dialog is shown,github.com/JetBrains/intellij-community/pull/731/commits/4d7ab87dd3f18008710f0fa29c1bf49c89844495
2018-01-11T11:53:00Z,commit,Gradle: optimize sources/javadoc attachment from gradle cache (IDEA-1¡­,github.com/JetBrains/intellij-community/pull/731/commits/28018b395dfebfbe1a068a6459ecbacfcd3ceb5d
2018-01-11T13:59:37Z,commit,"wording ""solutions"" -> ""projects""",github.com/JetBrains/intellij-community/pull/731/commits/54e01f8740896d14936e5eda6eb51b0a224b6d91
2018-01-09T10:21:10Z,commit,IDEA-183664 Debugger does not start anymore,github.com/JetBrains/intellij-community/pull/731/commits/5654e231f426692df695d50ac0e7f1c833f344b0
2018-01-11T02:41:47Z,commit,handleFlush: do not use inherent nullability for unknown values,github.com/JetBrains/intellij-community/pull/731/commits/e7b32a416a281a382b26bd12782f5dd4a2b3db8d
2018-01-11T05:19:53Z,commit,"Fixes IDEA-184723 ""Data flow algorithm complexity"" removing excessive¡­",github.com/JetBrains/intellij-community/pull/731/commits/8d1b3f21b307c3bb3a980c40d58da712f2ddde6b
2018-01-12T10:04:57Z,commit,IDEA-184845 Gradle: Provide a way to delegate build actions to gradle¡­,github.com/JetBrains/intellij-community/pull/731/commits/a93f6292bc6132e143e7632b7bff9bdd8890d475
2018-01-12T08:57:37Z,commit,"Gradle: refactoring, use Files.walkFileTree",github.com/JetBrains/intellij-community/pull/731/commits/b7e128db47190d857add8c39371b91cc53c25a58
