82,SSH agent support for git and svn integrations
2013-12-23T10:24:54Z,commit,IDEA-97930,github.com/JetBrains/intellij-community/pull/82/commits/6d025c10cd0f2a8dfec1e2a685d0f8d21ca44138
2013-12-23T11:23:28Z,commit,EA-35422 - IOOBE: EditorImpl.offsetToLogicalLine (from debugger),github.com/JetBrains/intellij-community/pull/82/commits/c21cd02f53a93fee9c8f1e1b8363e8dfa36b7ef7
2013-12-23T11:31:13Z,commit,fixed IDEA-111701 Emacs: pressing Ctrl+k several times should add lin¡­,github.com/JetBrains/intellij-community/pull/82/commits/93b3fcc3707ab110df36c5d9423f0b06037d9574
2013-12-23T11:32:01Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/82/commits/b83d875e175e68e6e31b918c31cfbe9795dfe1b2
2013-12-23T11:41:21Z,commit,roll back spy-js,github.com/JetBrains/intellij-community/pull/82/commits/5c0518e821dc0998d516b727981f2768dcb74f03
2013-12-23T11:52:47Z,commit,Made builtins cache valid only if it has a valid reference to the bui¡­,github.com/JetBrains/intellij-community/pull/82/commits/3a3bbfff65d89ec6ec10fa588a798fd5fa5a4716
2013-12-23T11:55:18Z,commit,IDEA-86907 Fold/unfold for the last node is incorrect,github.com/JetBrains/intellij-community/pull/82/commits/8086000a6ee1d7940f35b6bb72f8595da981a1b5
2013-12-23T12:11:02Z,commit,re-applied darcula changes correctly,github.com/JetBrains/intellij-community/pull/82/commits/183e4169e70e3167a0aa5fd472defbaab5bf5cd0
2013-12-23T12:14:25Z,commit,Added error message for missing python-skeletons diagnostics (PY-10411),github.com/JetBrains/intellij-community/pull/82/commits/9e8ef9207c6232c1ef573e511025828e21176517
2013-12-23T12:39:36Z,commit,IDEA-118588 (Concatenation with empty string fails to fix an expression),github.com/JetBrains/intellij-community/pull/82/commits/01753c7677518db84c94d606fc1722aa2b85e89f
2013-12-23T12:10:08Z,commit,ensure public inner inside interface (IDEA-118564),github.com/JetBrains/intellij-community/pull/82/commits/3d7a8fb300d5bdc15359fb3f8c19701de34a8de0
2013-12-23T12:15:14Z,commit,untie static methods in interface hierarchy (IDEA-118577),github.com/JetBrains/intellij-community/pull/82/commits/6565df2babc6206fac57a0efb120b28cb8aa35a3
2013-12-23T12:31:07Z,commit,rename: do not show collisions for static methods rename in interface¡­,github.com/JetBrains/intellij-community/pull/82/commits/6eaeefa2aa6bbbaa005ea88bec4519295e4647a6
2013-12-23T13:12:24Z,commit,plugin advertiser: do not suggest to update from ultimate to ultimate¡­,github.com/JetBrains/intellij-community/pull/82/commits/461cd32ee4f7e523530fe6e68e5c059e2135a887
2013-12-23T13:47:19Z,commit,lower the dfa inspection time limit in analyze mode (IDEA-118567),github.com/JetBrains/intellij-community/pull/82/commits/99aaa2c27838994b937d4b9dcbf913570871e052
2013-12-23T13:50:19Z,commit,Introduced Bitness and JdkVersionInfo combining version and bitness,github.com/JetBrains/intellij-community/pull/82/commits/9d07fd69b41f2b2985e77515d82cfc3a0ba77c3e
2013-12-23T13:58:05Z,commit,Merge branch 'python-fixes',github.com/JetBrains/intellij-community/pull/82/commits/5735d5c46945bfbddc2426697872191b60fa0086
2013-12-20T16:08:59Z,commit,IDEA-118569 Add quick doc for live template lookup items,github.com/JetBrains/intellij-community/pull/82/commits/107e9ae4422949500cd465d34f40505149ea7f80
2013-12-20T16:23:34Z,commit,Extend block support API,github.com/JetBrains/intellij-community/pull/82/commits/60a5c6086f929dd3c6557d025eccec9144270ea7
2013-12-23T13:45:27Z,commit,ListTemplateAction should provide custom live templates,github.com/JetBrains/intellij-community/pull/82/commits/544d21fd9a8b7a08fc52453363694481c2f1597e
2013-12-23T14:20:13Z,commit,"IDEA-118419 Keep caret on the screen while changing font size, IDEA-1¡­",github.com/JetBrains/intellij-community/pull/82/commits/f6a4f207f067b7ae74eacc6c162ee091d97f64e5
2013-12-23T14:38:02Z,commit,EA-52292 fix (PHP template inside HTML comment case),github.com/JetBrains/intellij-community/pull/82/commits/41ccbd29470b505a469a0a8029ebf4da292e3169
2013-12-23T14:54:40Z,commit,use getElement instead of getParent,github.com/JetBrains/intellij-community/pull/82/commits/43b7c906fd72b5dbf53982d6dace9529815803b1
2013-12-23T15:31:36Z,commit,added copyright,github.com/JetBrains/intellij-community/pull/82/commits/59d1d4c3695238abb9f6b19349ec5bff6b8f9095
2013-12-23T15:36:31Z,commit,IDEA-118487 IDEA should suggest downloading missing plug-ins for unre¡­,github.com/JetBrains/intellij-community/pull/82/commits/0a5485ba2e83457903878d6d16574cc68ac4cc26
2013-12-23T15:43:41Z,commit,fix performance problem on 'new Object() {}' test code,github.com/JetBrains/intellij-community/pull/82/commits/3d634e499acbc06ef7e2c0a8b8452f2731e548c6
2013-12-23T12:07:22Z,commit,clean up literal type inference,github.com/JetBrains/intellij-community/pull/82/commits/89e472e454a14673209686704b0f6582d8bcb82e
2013-12-23T15:15:58Z,commit,Groovy: reassigned vars without closures,github.com/JetBrains/intellij-community/pull/82/commits/e90c6785e9902484c4c8cb8da6f287e4d0c0fd47
2013-12-23T13:09:57Z,commit,java: extra whitespace in class decompiler trimmed,github.com/JetBrains/intellij-community/pull/82/commits/6d85c557b24cf750ca95c5bb7159597b5a78d31f
2013-12-23T15:35:45Z,commit,java: incorrect parsing of bounds in class files fixed,github.com/JetBrains/intellij-community/pull/82/commits/f45f27fd20a2f27e90b07d98d3eee18dd86b9c1b
2013-12-23T15:35:58Z,commit,Cleanup (formatting),github.com/JetBrains/intellij-community/pull/82/commits/1e147d8455fe9993770806fd92c6b5d9918a13e3
2013-12-23T16:27:23Z,commit,static super methods: java 8 interfaces,github.com/JetBrains/intellij-community/pull/82/commits/7e3d1abb52935a7d5f54bfb80c4d96cafa46759e
2013-12-23T16:30:11Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/82/commits/668b0c15850b1a7f30d33a38faa0cdfe378709dd
2013-12-23T12:17:37Z,commit,"overrides, prefer to use our utils methods",github.com/JetBrains/intellij-community/pull/82/commits/558b4bac4bd8050236c6cd75d0345674f9dcac3c
2013-12-23T16:53:36Z,commit,WEB-10367 JavaScript Debugging in Firefox hangs PhpStorm,github.com/JetBrains/intellij-community/pull/82/commits/1a0c297d426849da3b1b11185ef777617b0b8d67
2013-12-23T16:56:47Z,commit,Add debug info to investigate blink test.,github.com/JetBrains/intellij-community/pull/82/commits/d25214ab584442e3ec067ad2b34b07276ab863e5
2013-12-23T18:06:18Z,commit,"IDEA-118601 New Module: Maven: click on ""Create from archetype"" rever¡­",github.com/JetBrains/intellij-community/pull/82/commits/d94c9a19edd8fca16112b3dbf7f93ca5a4571056
2013-12-23T18:53:13Z,commit,WEB-10360 Javascript debugger with non unique file names,github.com/JetBrains/intellij-community/pull/82/commits/6bd22b407483d7702c5a35d787057263c2ccf560
2013-12-23T19:36:12Z,commit,"fix and clarify ""Cyclic class dependency"" inspection warning",github.com/JetBrains/intellij-community/pull/82/commits/68b7ce46db80a6d18b51de0f3250b3572a7b3773
2013-12-23T20:31:37Z,commit,Bug fix: check not-null,github.com/JetBrains/intellij-community/pull/82/commits/6b54183c9cbacf912b4d0036425a26f77d164183
2013-12-23T20:59:54Z,commit,Fix live templates tests,github.com/JetBrains/intellij-community/pull/82/commits/9edbf08ea2db9f303624e43d6c922f0b2fa58900
2013-12-23T22:04:17Z,commit,move test to correct location,github.com/JetBrains/intellij-community/pull/82/commits/878641fc5108f4803cd487874951646172ddcfd3
2013-12-23T22:46:57Z,commit,IDEA-118495 (Cyclic package dependency inspection is unusable.),github.com/JetBrains/intellij-community/pull/82/commits/e23693cb2e18a57c239004dd7e254c59d9425df1
2013-12-24T06:41:24Z,commit,IDEA-118419 Keep caret on the screen while changing font size,github.com/JetBrains/intellij-community/pull/82/commits/00dda2f26588e8db19c087009e4cbf8d011be4b0
2013-12-24T06:41:42Z,commit,new project wizard in work,github.com/JetBrains/intellij-community/pull/82/commits/41308247ee8636f6e212cca747e488ecfff6d5c2
2013-12-24T06:52:28Z,commit,description font,github.com/JetBrains/intellij-community/pull/82/commits/c3ca08be471cb2fbbae11d5a0060beb2da166266
2013-12-24T08:07:13Z,commit,ProjectTemplateList,github.com/JetBrains/intellij-community/pull/82/commits/4f93b7d31485a4a976ec8608374ba2b86e9c45b1
2013-12-24T08:08:12Z,commit,NewProjectWizardAction removed,github.com/JetBrains/intellij-community/pull/82/commits/7c4b4a182661acd04bc658daba2be2aac46620fa
2013-12-24T08:50:35Z,commit,Fix JavaAutoPopupTest: test live template without description,github.com/JetBrains/intellij-community/pull/82/commits/b8e46005631748427a7f1ca45cb568785f7492ed
2013-12-24T08:56:37Z,commit,added test for IDEA-111701 (2 editors for 1 document),github.com/JetBrains/intellij-community/pull/82/commits/17e632821b503c61585a5be87aaa594131799d1d
2013-12-24T08:56:56Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/82/commits/d0f541a741931ebf71fe3c2580b920e0809af081
2013-12-24T09:09:45Z,commit,gant in libLicences.gant,github.com/JetBrains/intellij-community/pull/82/commits/de7798b2299e4fb01e1b33c7aa3541c05285b106
2013-12-23T15:24:04Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/82/commits/9930be003add86d6693ab41357e1316d3d3c0b8a
2013-12-23T15:24:35Z,commit,notnull,github.com/JetBrains/intellij-community/pull/82/commits/62b2dde37f7785619611bc3970e4eb46f58fee28
2013-12-23T16:20:27Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/82/commits/b963343532d72c86dde10ab100c4cf8b2eb281d2
2013-12-24T09:30:15Z,commit,notnull,github.com/JetBrains/intellij-community/pull/82/commits/af79d47eed5c665121bf7bd85b72da4745851346
2013-12-24T09:31:02Z,commit,less garbage,github.com/JetBrains/intellij-community/pull/82/commits/41db6bfeb0c22d7146dec41ba7ec54f4e1058f1c
