1156,"Cause ""No proxy for"" list to be comma separated after exanded"
2019-06-11T00:33:04Z,discuss,"Currently it is a space sepparated list, which causes issues when using
proxy exceptions."
2019-08-16T13:53:56Z,commit,[devkit] use constants from PluginManagerCore,github.com/JetBrains/intellij-community/pull/1156/commits/0fc286db94438ba45d6c035a985c8ddd2045b7d0
2019-08-16T14:09:10Z,commit,"move text message to VcsBundle, restore removed attribution",github.com/JetBrains/intellij-community/pull/1156/commits/6330ecf2c74c006712e417f27a7828e450a7c09b
2019-08-16T14:42:13Z,commit,"IDEA-220848 Disable ""WARNING: An illegal reflective access operation ¡­",github.com/JetBrains/intellij-community/pull/1156/commits/b065e1983b87575ead24f979ca894d26731b2c91
2019-08-06T16:56:56Z,commit,vcs-ignore: extract possible heavy operation from lock to avoid EDT f¡­,github.com/JetBrains/intellij-community/pull/1156/commits/0fd845c94aecebd47e3b28eac557a0326739b3bd
2019-08-07T12:23:12Z,commit,"vcs-ignore: optimize isUnder in ignore holders (IDEA-217647, IDEA-219¡­",github.com/JetBrains/intellij-community/pull/1156/commits/5a955161d8196c802cc039f7baf48795bd42b6da
2019-08-08T14:49:56Z,commit,vcs-ignore: optimize ignore holders partial rescans by checking unver¡­,github.com/JetBrains/intellij-community/pull/1156/commits/7023e63880698055f48d1802427a543f34c6f479
2019-08-15T15:17:22Z,commit,cleanup: remove unused snappy JAR file,github.com/JetBrains/intellij-community/pull/1156/commits/b2969db9177bad62fec5a9e8e30bed75a260f81a
2019-08-16T15:15:06Z,commit,make sure creating file pointers for FS root doesn't crash,github.com/JetBrains/intellij-community/pull/1156/commits/aef37b8c9b6198b36fe3708869a8748c8cad8760
2019-08-16T15:18:33Z,commit,"assert argument to findRoot is actual root path, not some random dire¡­",github.com/JetBrains/intellij-community/pull/1156/commits/c5db68cde4539be38fc309a9c38aa97d166d162a
2019-08-16T15:28:58Z,commit,fix flaky tests: wait until tree is build,github.com/JetBrains/intellij-community/pull/1156/commits/090855044b4b575c8513dbcc696498593f1d3d8b
2019-08-16T15:42:13Z,commit,Cancel the editorconfig processing future on PCE,github.com/JetBrains/intellij-community/pull/1156/commits/ccedd26f7c77e4152b716f286340d84df66d5ea3
2019-08-16T15:49:46Z,commit,cleanup: replace method duplicates,github.com/JetBrains/intellij-community/pull/1156/commits/a75f9664f6de2716a77273ae121a29e8481309b9
2019-08-16T15:50:07Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/c7dff20d2570566c48680e683eb58523f79574d2
2019-08-16T16:11:40Z,commit,NPE,github.com/JetBrains/intellij-community/pull/1156/commits/c9093a082a484b6dbd3c1a50e9be2cc56ad0b21d
2019-08-16T16:26:39Z,commit,build scripts: properly evaluate path to groovy-rt JARs when compilat¡­,github.com/JetBrains/intellij-community/pull/1156/commits/917c4ede4360e9b24f198e05df22d4daf7eb8412
2019-08-16T15:55:49Z,commit,"Revert ""avoid getting file specific codestyle settings when not neces¡­",github.com/JetBrains/intellij-community/pull/1156/commits/f20de570798e17c8679aab3d4f093ea96d306cc1
