658,how to edit privacy policy
2012-12-13T19:29:37Z,commit,do not suggest,github.com/JetBrains/intellij-community/pull/658/commits/4ad5e90d029fd8b0cacc13a91de942be5444cece
2013-01-07T13:23:30Z,commit,no enclosing instance (IDEA-97063),github.com/JetBrains/intellij-community/pull/658/commits/1714a0db74b7e69717add412c5f504c38df544f1
2012-12-14T12:35:08Z,commit,inplace introduce: do not replace identifier with method expr even wh¡­,github.com/JetBrains/intellij-community/pull/658/commits/ef9f5a2acbf1638b46325312b131925e09599db9
2012-12-17T15:40:08Z,commit,inplace extract: from injected editor (IDEA-97682),github.com/JetBrains/intellij-community/pull/658/commits/8a8df45cbb24f6fe103e1f79d304609496e7f1af
2012-12-17T17:37:44Z,commit,pull up: delete,github.com/JetBrains/intellij-community/pull/658/commits/bad82b546423cada9aece7bee93e58d2eddc349e
2012-12-17T20:41:47Z,commit,java api checker: support,github.com/JetBrains/intellij-community/pull/658/commits/5bb4d4bcd13c4f08e2f907654f9f4b690e167ed1
2012-12-18T11:27:16Z,commit,revert: use always top level editor in java only,github.com/JetBrains/intellij-community/pull/658/commits/483e271482a05e0791bd6a8c64d400fd70146ddd
2013-01-07T15:42:43Z,commit,comment test,github.com/JetBrains/intellij-community/pull/658/commits/49a5bc3fb33c05724e1b4461e2852c9761ac5ab4
2013-01-07T17:23:53Z,commit,EA-42594 - NPE: StructureViewWrapperImpl.setFile,github.com/JetBrains/intellij-community/pull/658/commits/a5169cf5f73cca2ba2f4189ae0a86042d7de71d5
2013-01-07T17:46:43Z,commit,[r=Roman.Shevchenko] deadlock on startup (IDEA-98468),github.com/JetBrains/intellij-community/pull/658/commits/1ae57c588a6c64f709456d7c0383107a6898bedc
2013-01-07T19:41:02Z,commit,[r=Roman.Shevchenko] Cannot build artifact for big project - IU 12 Pr¡­,github.com/JetBrains/intellij-community/pull/658/commits/3790028873d7d7a81c6684d2c4020c89f1828c06
2013-01-07T19:34:19Z,commit,IDEA-98542 (help a guy to poison$ poor actor),github.com/JetBrains/intellij-community/pull/658/commits/b62e8c67408c31af88be7995fd9659e9b0b9b9eb
2013-01-07T19:40:38Z,commit,proper NPE fix,github.com/JetBrains/intellij-community/pull/658/commits/ec4cc8435ad8bba7f3a520e583cf3d19be62ebfa
2013-01-08T13:19:28Z,commit,Broken Icons API fixed,github.com/JetBrains/intellij-community/pull/658/commits/9fe9e5a44a9c2bea7e441f72fb7896cd0b172698
2013-01-08T17:25:39Z,commit,add CoreLocalFileSystem.findFileByIoFile,github.com/JetBrains/intellij-community/pull/658/commits/1fbe2aa4848d4a1e46080fb6b95c7c8c07c7afae
2012-12-24T16:12:44Z,commit,[nik] BuildRootDescriptor default impl,github.com/JetBrains/intellij-community/pull/658/commits/d7d01bbfb175756772a2abe632338d04d1e8172c
2013-01-09T11:27:15Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/7cad838b667fee288057d3f0cd5f877920aea810
