id,title,status,importance
80224,provide quickfix help type cannot indirectly reference require,RESOLVED INVALID,P3 enhancement
80225,export prompt save export,VERIFIED FIXED,P2 major
80226,menumanager override data dynamic menu items,ASSIGNED,P5 normal
80227,fix width console char double space char line,VERIFIED FIXED,P3 normal
80228,standard file header tree file,RESOLVED WONTFIX,P4 enhancement
80229,aiob exception fix width console,VERIFIED FIXED,P3 normal
80230,need change match change,CLOSED FIXED,P3 major
80231,drop snippet use wrong eol,CLOSED FIXED,P2 normal
80232,spurious spell check message log,CLOSED FIXED,P3 normal
80233,show smaller list reference launch,RESOLVED DUPLICATE of bug 204404,P3 normal
80234,arrayindexoutofbounds java stack trace console,RESOLVED DUPLICATE of bug 81032,P3 normal
80235,loss link support redirect file output,RESOLVED DUPLICATE of bug 79952,P3 normal
80236,unable create java,RESOLVED WORKSFORME,P3 normal
80237,xml editor open xml file extension,CLOSED DUPLICATE of bug 37668,P3 major
80238,old style c comment,RESOLVED FIXED,P3 enhancement
80239,inplace outline view aj editor remember size position,RESOLVED FIXED,P3 normal
80240,template show name start character,RESOLVED DUPLICATE of bug 21926,P3 normal
80241,trayitem image transparent suse linux,RESOLVED DUPLICATE of bug 83543,P3 normal
80242,inconsistent feedback mac linux,RESOLVED WORKSFORME,P3 normal
80243,provide help type cannot indirectly reference require,RESOLVED WONTFIX,P3 enhancement
80244,high gef,RESOLVED DUPLICATE of bug 13813,P3 normal
80245,visual focus list view cannot display,RESOLVED WONTFIX,P3 normal
80246,miss javacdebuglevel property,RESOLVED WORKSFORME,P3 normal
80247,add open external directory,NEW,P5 enhancement
80248,struct name contain character cannot parse,RESOLVED INVALID,P3 major
80249,order type pass compiler determine weave behavior,RESOLVED FIXED,P3 normal
80250,,RESOLVED INVALID,P3 normal
80251,assertionfailedexception create refactoringstatusentry,RESOLVED FIXED,P3 normal
80252,false positive inconsistent null check,RESOLVED DUPLICATE of bug 110030,P3 normal
80253,cdt break quick fix edit,RESOLVED FIXED,P3 normal
80254,match find dirty,NEW,P3 normal
80255,continuous import log file hang ui,CLOSED DUPLICATE of bug 74900,P2 critical
80256,support restrictions wildcards introduce new feature,VERIFIED FIXED,P3 normal
80257,type reference javadocs generic raw,VERIFIED FIXED,P3 minor
80258,log interactions view incorrectly grab focus,CLOSED WORKSFORME,P2 major
80259,workingsetmanager correctly dispose,VERIFIED FIXED,P3 normal
80260,dangle reference prevent save test suite,CLOSED FIXED,P3 major
80261,miss import quickfix,RESOLVED WONTFIX,P3 normal
80262,content assistant tableviewer,RESOLVED INVALID,P3 normal
80263,javadoc format problems xml space unrecnognized,RESOLVED INVALID,P3 normal
80264,search method declarations disregard declare type,VERIFIED FIXED,P3 normal
80265,use another connection type compatible command line cvs,RESOLVED INVALID,P3 normal
80266,detach view position save,RESOLVED WONTFIX,P3 normal
80267,cannot restart use configuration,RESOLVED INVALID,P3 normal
80268,cookie process flaw,CLOSED FIXED,P1 major
80269,quote around source file confuse parser,RESOLVED FIXED,P3 minor
80270,parser ignore valid include paths,RESOLVED INVALID,P3 normal
80271,parser corrupt macro symbol detection,RESOLVED FIXED,P3 normal
80272,xp coolbar xp children show expect gradient,RESOLVED FIXED,P3 normal
80273,deprecate date api longer throw warn error,RESOLVED WORKSFORME,P3 major
80274,add search title jdt debug documentation,RESOLVED WORKSFORME,P3 normal
80275,manual test case execution history file hyades test,CLOSED FIXED,P3 normal
80276,cbannerlayout call often,RESOLVED FIXED,P3 normal
80277,call,RESOLVED WONTFIX,P3 normal
80278,daemonconnectexception,CLOSED FIXED,P3 normal
80279,datapool speed slow,CLOSED FIXED,P3 major
80280,gotolasteditpositionaction work multi page editors,RESOLVED FIXED,P3 normal
80281,ant errors ihyperlink problem,RESOLVED WORKSFORME,P3 normal
80282,ids,CLOSED FIXED,P3 normal
80283,update hyades plugins use osgi framework instead plugin descriptor runtime,CLOSED FIXED,P3 normal
80284,enhancements memory view replace memoryviewpane tree viewer,VERIFIED FIXED,P3 normal
80285,call every abstractuiplugin use preference,CLOSED FIXED,P3 normal
80286,console output allow link methods name,RESOLVED WORKSFORME,P2 normal
80287,ant debugger leave highlight editor,VERIFIED FIXED,P3 normal
80288,code assist support java logical structure preference page,VERIFIED FIXED,P3 enhancement
80289,agent,CLOSED INVALID,P3 normal
80290,extract superclass,RESOLVED DUPLICATE of bug 75603,P3 enhancement
80291,supply editor input file outside workspace,RESOLVED DUPLICATE of bug 111887,P3 enhancement
80292,eclipse freeze,RESOLVED DUPLICATE of bug 70557,P3 normal
80293,rft paste behavior inconsistant usabiltiy,CLOSED DUPLICATE of bug 70740,P2 major
80294,agent controller synchronize system,CLOSED FIXED,P3 normal
80295,hyades agent controller crash profile,CLOSED DUPLICATE of bug 80299,P3 blocker
80296,daemonconnectexception due inactiveprocessexception,CLOSED FIXED,P3 normal
80297,backport deadlock detection,VERIFIED FIXED,P2 major
80298,command minimize view,RESOLVED INVALID,P3 normal
80299,native common base event implementation throw unhandled,CLOSED FIXED,P3 blocker
80300,quick assist local variable never read may produce syntax errors,RESOLVED FIXED,P3 normal
80301,publish performance plugin zip internal api reference report build page,CLOSED FIXED,P3 normal
80302,exception save testsuite,CLOSED DUPLICATE of bug 73881,P3 normal
80303,project include dtds directory build,CLOSED FIXED,P3 major
80304,npe memory view select expression expression view,VERIFIED FIXED,P3 normal
80305,uml conformance,VERIFIED FIXED,P2 enhancement
80306,uml interchange,VERIFIED FIXED,P4 enhancement
80307,validation rule,NEW,P3 enhancement
80308,unit test,NEW,P3 enhancement
80309,hyperlink own monitor wait thread,RESOLVED WONTFIX,P3 enhancement
80310,minimize problems view incorrect,NEW,P5 normal
80311,supressed emf type,RESOLVED WONTFIX,P4 enhancement
80312,resource fragment,VERIFIED FIXED,P4 enhancement
80313,derive feature,VERIFIED FIXED,P4 enhancement
80314,make easier user add listener,RESOLVED FIXED,P3 normal
80315,javadoc,VERIFIED FIXED,P4 enhancement
80316,rcp support,RESOLVED WONTFIX,P4 enhancement
80317,unexpected behaviour minimize view command,NEW,P3 normal
80318,class diagram,VERIFIED FIXED,P4 enhancement
80319,use old catalogcontributor extension point,CLOSED FIXED,P3 normal
80320,testuite editor description textarea small,CLOSED FIXED,P3 normal
80321,support work breakpoints view,VERIFIED FIXED,P3 enhancement
80322,ctrl link enable even disable options,RESOLVED WORKSFORME,P3 normal
80323,make global step action retargettable,VERIFIED FIXED,P2 enhancement
80324,add dispose listeners color,NEW,P3 enhancement with 1 vote
80325,defer content adapater override workbench adapter,VERIFIED FIXED,P3 normal
80326,javaownedmonitor return wrong parent,VERIFIED FIXED,P3 normal
80327,test plugin rpm,RESOLVED FIXED,P3 enhancement
80328,annotation problem type implement,VERIFIED FIXED,P3 normal
80329,may need turn inlining,CLOSED FIXED,P3 normal
80330,better indication test status launch,CLOSED DUPLICATE of bug 74923,P3 enhancement
80331,npe abstractdebugactiondelegate,VERIFIED FIXED,P3 normal
80332,logical structure factories,VERIFIED FIXED,P3 normal
80333,logical structure polish items,VERIFIED FIXED,P3 normal
80334,miss slash file system paths,CLOSED INVALID,P3 minor
80335,nullpointerexception excepption successful task,RESOLVED INVALID,P3 normal
80336,attribute mark,VERIFIED FIXED,P2 normal
80337,nullpointerexception internalcompletionproposal content assist method override break,VERIFIED DUPLICATE of bug 78801,P3 major
80338,throw nullargumentexception,RESOLVED INVALID,P3 major
80339,wrong error message write interface,VERIFIED FIXED,P3 minor
80340,builders execute,RESOLVED WONTFIX,P3 normal
80341,,VERIFIED FIXED,P3 enhancement
80342,jsp editor outline view context menu suggest jsp elements attribute,CLOSED WONTFIX,P3 enhancement
80343,npe eclipse trigger frequently,RESOLVED DUPLICATE of bug 68413,P3 normal
80344,badlocationexception search,RESOLVED DUPLICATE of bug 80082,P3 normal
